category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
Treatments,longevity,54.0,207.0,621.0,882.0,0.7040816326530612,0.061224489795918366,4.360709057531118
Treatments,fragrance,4213.0,7190.0,20776.0,32179.0,0.6456384598651295,0.13092389446533453,5.342274162202355
Treatments,price,4423.0,6278.0,22235.0,32936.0,0.6750971581248482,0.13429074568860822,5.62565862540592
Treatments,packaging,3747.0,6259.0,21616.0,31622.0,0.6835747264562646,0.11849345392448296,5.855168707066486
Treatments,ingredients,2191.0,2792.0,13295.0,18278.0,0.7273771747455958,0.11987088302877777,5.961767938206038
Treatments,irritation,2116.0,2469.0,15609.0,20194.0,0.7729523620877489,0.10478359908883828,6.623684118830863
Treatments,hydration,1595.0,3689.0,17731.0,23015.0,0.7704106017814469,0.06930262872039974,7.041889854043609
Treatments,finish,453.0,1177.0,7595.0,9225.0,0.8233062330623306,0.049105691056910566,7.068281293390688
Treatments,effectiveness,2881.0,6531.0,32183.0,41595.0,0.7737228032215411,0.06926313258805145,7.492463484806663
Value & Gift Sets,sillage,2.0,0.0,6.0,8.0,0.75,0.25,1.0986122886681098
Value & Gift Sets,packaging,346.0,399.0,801.0,1546.0,0.518111254851229,0.2238033635187581,2.161418594444208
Value & Gift Sets,longevity,4.0,9.0,36.0,49.0,0.7346938775510204,0.08163265306122448,2.554790534157157
Value & Gift Sets,fragrance,313.0,560.0,1162.0,2035.0,0.571007371007371,0.1538083538083538,3.1785318322566
Value & Gift Sets,price,285.0,334.0,1414.0,2033.0,0.6955238563698967,0.14018691588785046,4.2304232966015745
Value & Gift Sets,ingredients,98.0,165.0,764.0,1027.0,0.7439143135345667,0.09542356377799416,4.497523580375914
Value & Gift Sets,irritation,98.0,124.0,741.0,963.0,0.7694704049844237,0.10176531671858775,4.587862619350551
Value & Gift Sets,finish,18.0,64.0,340.0,422.0,0.8056872037914692,0.04265402843601896,4.614345596333889
Value & Gift Sets,hydration,83.0,204.0,874.0,1161.0,0.7527993109388458,0.0714900947459087,4.808610911707818
Value & Gift Sets,effectiveness,172.0,334.0,1619.0,2125.0,0.7618823529411765,0.08094117647058824,5.21736963187343
Wellness,sillage,0.0,0.0,1.0,1.0,1.0,0.0,0.6931471805599453
Wellness,longevity,5.0,10.0,15.0,30.0,0.5,0.16666666666666666,1.1446624014950488
Wellness,finish,18.0,44.0,85.0,147.0,0.5782312925170068,0.12244897959183673,2.277640968314256
Wellness,fragrance,126.0,183.0,385.0,694.0,0.5547550432276657,0.18155619596541786,2.442180357350549
Wellness,price,298.0,303.0,781.0,1382.0,0.565123010130246,0.21562952243125905,2.5275405138886238
Wellness,irritation,26.0,24.0,130.0,180.0,0.7222222222222222,0.14444444444444443,3.003576062509144
Wellness,packaging,178.0,258.0,675.0,1111.0,0.6075607560756076,0.16021602160216022,3.137638155698319
Wellness,hydration,11.0,19.0,95.0,125.0,0.76,0.088,3.2499814414713932
Wellness,ingredients,80.0,160.0,406.0,646.0,0.628482972136223,0.1238390092879257,3.266230482983427
Wellness,application,4.0,14.0,151.0,169.0,0.893491124260355,0.023668639053254437,4.467232960037802
